Month,Region,Category,Units_Sold,Revenue,Forecast_MAPE,Stockout_Rate,Avg_Days_of_Supply
2022-03,West,Groceries,21952,1026592.1915,0.228721586816496,0.012987012987012988,2.1105343512006622
2022-03,West,Toys,23173,1127839.7045,0.1632106290007934,0.006024096385542169,2.102203107398229
2022-04,East,Clothing,19458,1020665.9635,0.19282041555272855,0.0,2.1989785644307362
2022-04,East,Electronics,17477,894512.1785,0.2094577574751449,0.0,2.0572281925087235
2022-04,East,Furniture,18793,898763.3965,0.4250998811205256,0.0,2.1046132967346884
2022-04,East,Groceries,20529,975458.245,0.2958241475203909,0.0,2.120635763224506
2022-04,East,Toys,17214,858691.935,0.21175798797066986,0.0072992700729927005,2.2350313087810116
2022-04,North,Clothing,19092,873567.867,0.22506518838469902,0.0,2.3132967284487274
2022-04,North,Electronics,21541,1068543.0055,0.2088591755341927,0.0,2.196450239736251
2022-04,North,Furniture,20612,1108165.8295,0.20979153823709454,0.0,1.9713456156301767
2022-04,North,Groceries,20535,1107855.5125,0.15034735705395066,0.02054794520547945,2.0540432004190246
2022-04,North,Toys,22933,1214717.7205,0.2385425989066879,0.006024096385542169,1.9531500159228827
2022-04,South,Clothing,21615,1168820.0215,0.26251547364777833,0.0,2.094657739818628
2022-04,South,Electronics,19831,1006354.4385,0.24212309948379643,0.0,2.214947183238945
2022-04,South,Furniture,22031,1145215.0915,0.21863248664609927,0.0,2.212486313075472
2022-04,South,Groceries,23900,1141885.807,0.27203623872770466,0.0,2.2750372749120458
2022-04,South,Toys,21179,1002553.63,0.23528926542165313,0.0,2.2148311121301725
2022-04,West,Clothing,20148,1008935.552,0.3961682315476677,0.00625,2.009465979715821
2022-04,West,Electronics,20546,951267.7225,0.2887072733486913,0.0,2.1919511587508755
2022-04,West,Furniture,19226,870368.9585000001,0.3314896893353745,0.006896551724137931,2.276203901555751
2022-04,West,Groceries,18570,966558.3935,0.18319685207823097,0.0,1.9899642140588933
2022-04,West,Toys,22150,1031501.415,0.2036864775965808,0.012195121951219513,2.1117625444037493
2022-05,East,Clothing,22000,1122771.377,0.16334838413551933,0.0,2.112418023111729
2022-05,East,Electronics,22836,1179603.224,0.2643762059151195,0.0,2.1581643761315807
2022-05,East,Furniture,20931,962917.5755,0.18240050471952354,0.0,2.4019119284646804
2022-05,East,Groceries,22078,1095047.2725,0.33374298568795296,0.0,2.238529500710963
2022-05,East,Toys,23643,1140751.74,0.24707363420157016,0.006369426751592357,2.065843056260898
2022-05,North,Clothing,18463,946346.2885,0.19974197392471565,0.0070921985815602835,2.268308044839133
2022-05,North,Electronics,19689,1011587.9525,0.2091369471559005,0.0,2.1866107492873694
2022-05,North,Furniture,19549,1043785.132,0.2831842124463553,0.006756756756756757,2.1786672690412137
2022-05,North,Groceries,22735,1105764.6285,0.2073305070700788,0.0,2.054836961737513
2022-05,North,Toys,17688,883303.1965,0.20343409244938718,0.0,2.1828251564485184
2022-05,South,Clothing,18924,914466.6525,0.3499041494390464,0.013333333333333334,1.9730057007616366
2022-05,South,Electronics,20238,923154.1385,0.3219571764580945,0.0,2.1540174608675966
2022-05,South,Furniture,20498,1076109.4125,0.2619500922918443,0.006666666666666667,2.1044814772702174
2022-05,South,Groceries,24551,1229211.557,0.16641658947614138,0.005747126436781609,2.2011156257102247
2022-05,South,Toys,21317,1049411.025,0.1835912605566588,0.0,2.16929648533131
2022-05,West,Clothing,18501,896641.807,0.24022424742463674,0.006944444444444444,2.2011985324427745
2022-05,West,Electronics,19387,897473.0925,0.1483276478241346,0.0,2.1918053800052197
2022-05,West,Furniture,19705,954016.9155,0.17847793956833982,0.006289308176100629,2.115240782842006
2022-05,West,Groceries,21657,1139545.6645,0.4825100845732543,0.006024096385542169,2.1600130294577937
2022-05,West,Toys,20409,970653.7555,0.24260841867340005,0.0,2.091628012837682
2022-06,East,Clothing,22235,1169140.8085,0.26239568173946526,0.0125,2.075410302394657
2022-06,East,Electronics,18994,904965.4645,0.1880660160269928,0.0,2.1833192209986105
2022-06,East,Furniture,22595,1160836.567,0.25238882058969786,0.0,2.290798191440564
2022-06,East,Groceries,22522,1133922.848,0.1823807384796439,0.0,2.18397435560147
2022-06,East,Toys,23112,1106108.834,0.26290250248494934,0.01818181818181818,2.347525473715542
2022-06,North,Clothing,20167,1015248.944,0.29094931037512445,0.0,2.212692755763802
2022-06,North,Electronics,16799,733786.685,0.18396573917226763,0.0,2.39789143674919
2022-06,North,Furniture,23411,1194117.2835,0.1899749250172917,0.0,2.2875899386326615
2022-06,North,Groceries,20671,956557.2515,0.32638779756725067,0.0,2.14677201385276
2022-06,North,Toys,22210,1120358.6935,0.16572437725275488,0.006211180124223602,2.1789388529851337
2022-06,South,Clothing,23445,1112434.486,0.3441479602479381,0.0,1.9868679790468404
2022-06,South,Electronics,18389,961952.0475,0.30477884830591195,0.0,2.2755862857043545
2022-06,South,Furniture,19609,976032.332,0.3313842440737826,0.0,2.1980006598769553
2022-06,South,Groceries,23103,1255850.121,0.18119870496780002,0.0,2.1272996671958535
2022-06,South,Toys,19067,947484.449,0.1560257047325229,0.014285714285714285,2.132487438449391
2022-06,West,Clothing,20243,957236.764,0.35444923705210374,0.0,2.072608164458059
2022-06,West,Electronics,21205,1109385.1605,0.3441554037575755,0.0,2.1141350012440125
2022-06,West,Furniture,16729,902851.1255,0.18377224864489516,0.0,1.9475023094741843
2022-06,West,Groceries,21259,1154562.198,0.4438964748638268,0.0,2.386593595461378
2022-06,West,Toys,19744,1108954.761,0.19519056889489925,0.013986013986013986,2.184092329314473
2022-07,East,Clothing,20010,1074874.4695,0.2450856338575109,0.006993006993006993,2.211872748122556
2022-07,East,Electronics,20830,1016507.3775,0.3160735862148258,0.0,2.0349031117338607
2022-07,East,Furniture,21746,1040772.1765000001,0.2102812457786506,0.0,1.9722716797199558
2022-07,East,Groceries,22595,1202225.593,0.23257339235040175,0.012121212121212121,2.14239098474217
2022-07,East,Toys,21160,1032911.2645,0.16333632608368956,0.0,2.0833609668248645
2022-07,North,Clothing,21163,1002842.275,0.22114034081157347,0.006622516556291391,2.136082292591693
2022-07,North,Electronics,23256,1163439.04,0.19136741957262035,0.0,2.225379428832542
2022-07,North,Furniture,21168,1044245.9475,0.1978035708399339,0.0064516129032258064,2.1407050309408535
2022-07,North,Groceries,23193,1216791.037,0.2492750467258279,0.006024096385542169,2.0932269150397413
2022-07,North,Toys,20585,989939.42,0.36833153004402513,0.0,2.1974922227285725
2022-07,South,Clothing,23653,1137829.984,0.12916435082855843,0.0,1.9712343799066052
2022-07,South,Electronics,19033,901401.4895,0.3335225038721628,0.013986013986013986,2.0583471776609334
2022-07,South,Furniture,20945,1078391.548,0.16227030109668716,0.0,2.209882132115332
2022-07,South,Groceries,22719,1109033.0565,0.2266145143842718,0.0,2.2798976824549593
2022-07,South,Toys,21071,1025801.2985,0.156631448971084,0.0,2.0679532233049076
2022-07,West,Clothing,25738,1172079.216,0.14245091294963505,0.005747126436781609,2.188721296251203
2022-07,West,Electronics,19930,994549.251,0.40230344471557666,0.006578947368421052,2.107550430960629
2022-07,West,Furniture,15930,856196.4295,0.24858276088614287,0.0,2.0106206043164536
2022-07,West,Groceries,20413,1034308.756,0.1669447149996444,0.0,2.1957428235153835
2022-07,West,Toys,21490,1199770.5675,0.2552849765252073,0.012578616352201259,2.1701394593589147
2022-08,East,Clothing,21182,1020738.124,0.1932670858584366,0.006172839506172839,2.1181865876325103
2022-08,East,Electronics,20469,961209.8295,0.11644450944202224,0.0,2.1603234071493764
2022-08,East,Furniture,20867,1131749.94,0.2980041079241536,0.0,2.1581864964039723
2022-08,East,Groceries,17858,920605.849,0.30332617543016993,0.0,2.0646013874502316
2022-08,East,Toys,22679,1149418.5405,0.27588779060942026,0.005681818181818182,2.181877561583522
2022-08,North,Clothing,20938,1075466.4945,0.25426542977346794,0.018867924528301886,2.1818322638071845
2022-08,North,Electronics,24487,1244681.8935,0.14932127915602708,0.005555555555555556,1.9649163518991957
2022-08,North,Furniture,19603,984276.1664999999,0.2794535111781579,0.007194244604316547,2.0169718618185026
2022-08,North,Groceries,20028,1054927.689,0.3468463934640854,0.006711409395973154,2.156404981622105
2022-08,North,Toys,25308,1142039.9535,0.18638990408654896,0.0,2.2164112782615395
2022-08,South,Clothing,17911,891837.1235,0.26693381466983046,0.0,2.255347286986921
2022-08,South,Electronics,20926,986885.88,0.19553891254714917,0.0136986301369863,2.1195545114684555
2022-08,South,Furniture,20646,982668.874,0.22851103000366288,0.006622516556291391,2.3549323317596698
2022-08,South,Groceries,21308,1101117.3905,0.22339287996154578,0.0,2.2322943593933524
2022-08,South,Toys,19606,971605.209,0.18515271018568985,0.028169014084507043,2.257884400258019
2022-08,West,Clothing,21390,1021591.347,0.28769024776799385,0.0,2.1307280624481972
2022-08,West,Electronics,20726,1012092.323,0.26927754944572674,0.0,2.3421136746445472
2022-08,West,Furniture,23799,1098824.061,0.24928724212574613,0.005649717514124294,2.091608375485763
2022-08,West,Groceries,22514,1219541.508,0.3946766290537959,0.0,2.047010295360048
2022-08,West,Toys,22671,1084002.9895,0.21079711406640714,0.006289308176100629,2.1011594735459993
2022-09,East,Clothing,20490,944158.7145,0.37334952240959696,0.006493506493506494,2.270738138394755
2022-09,East,Electronics,20646,1014375.77,0.21720772757782875,0.00625,2.151381794717964
2022-09,East,Furniture,20012,992675.3585,0.2220655560713458,0.006622516556291391,2.289282821093591
2022-09,East,Groceries,20169,999693.601,0.28556513251459653,0.0070921985815602835,2.1418540636354066
2022-09,East,Toys,22037,1202728.29,0.22320250711098646,0.006289308176100629,2.236787792137278
2022-09,North,Clothing,23076,1262257.334,0.18870702324280259,0.011976047904191617,2.0721197095046198
2022-09,North,Electronics,20855,1047153.0985,0.25516411801846417,0.0136986301369863,2.263227397576002
2022-09,North,Furniture,21355,1070958.9455,0.2948066841684435,0.0,2.1336555061219005
2022-09,North,Groceries,19972,945122.579,0.21550871966440013,0.0,2.0983924556439844
2022-09,North,Toys,16846,854697.9535,0.26225607776301707,0.007936507936507936,2.0238349684020918
2022-09,South,Clothing,18691,904770.4535000001,0.20898423326825172,0.0,2.303146439756788
2022-09,South,Electronics,21958,1201183.33,0.2388520650137667,0.006172839506172839,2.1167306455746915
2022-09,South,Furniture,20120,968709.958,0.3012150969880852,0.007246376811594203,2.2238834059026713
2022-09,South,Groceries,22020,1144246.0320000001,0.2716856030120315,0.00641025641025641,2.1959496796971107
2022-09,South,Toys,18783,877327.643,0.26631103778308485,0.0,2.2087416418527095
2022-09,West,Clothing,21371,1011755.815,0.1747311498195216,0.0,2.343859747455751
2022-09,West,Electronics,17968,915691.274,0.22184212529834424,0.007142857142857143,2.2727988336899347
2022-09,West,Furniture,19145,986188.76,0.27645103040775776,0.0,2.13253183426773
2022-09,West,Groceries,25558,1271973.122,0.24524806908462962,0.0,2.1538103228988255
2022-09,West,Toys,20538,1013242.949,0.3241051186481974,0.007462686567164179,2.268470610535026
2022-10,East,Clothing,18113,840942.2655,0.1541216909094942,0.0,2.2163418335343796
2022-10,East,Electronics,22315,1190061.9065,0.14692134888237107,0.006756756756756757,2.1835088514322707
2022-10,East,Furniture,21590,994506.1585,0.20880710033947675,0.0,2.2321439115496995
2022-10,East,Groceries,28136,1377380.57,0.23376237104100728,0.010810810810810811,2.0809124094009532
2022-10,East,Toys,20655,1013664.618,0.32895321137559924,0.005988023952095809,2.129159206503809
2022-10,North,Clothing,20057,945160.3635,0.24186575112628353,0.01282051282051282,2.1226056822477863
2022-10,North,Electronics,23279,1098613.7825,0.12979716241536388,0.02158273381294964,2.107858283938755
2022-10,North,Furniture,22583,1122620.4785,0.2152028223826926,0.012422360248447204,2.119112554606589
2022-10,North,Groceries,16832,871915.5425,0.28380446503169016,0.0,1.8437602519619654
2022-10,North,Toys,20056,972436.4249999999,0.3344948005688736,0.0070921985815602835,2.16792862312225
2022-10,South,Clothing,23209,1141849.807,0.2502151108962062,0.0,2.3123930967848807
2022-10,South,Electronics,20195,1092850.676,0.44571357967609354,0.0,2.2340021260056147
2022-10,South,Furniture,22031,1089876.077,0.2043942857159489,0.005747126436781609,2.1047234662571856
2022-10,South,Groceries,19931,1020023.804,0.19463799790884354,0.0,2.099730889360952
2022-10,South,Toys,22079,1109264.5925,0.2550013979434715,0.011764705882352941,2.151397468223095
2022-10,West,Clothing,18360,913058.444,0.19310406224581253,0.0,2.0165102692492516
2022-10,West,Electronics,22517,1100488.922,0.16405623016058068,0.012195121951219513,2.1128803496360797
2022-10,West,Furniture,24044,1187763.1555,0.19215846998105607,0.0,2.0755730287563803
2022-10,West,Groceries,21376,1090162.141,0.32421566958425396,0.00641025641025641,2.169154377272188
2022-10,West,Toys,19505,974856.43,0.1630657626727435,0.0072992700729927005,2.1404420465585474
2022-11,East,Clothing,20453,988451.544,0.20195883103038872,0.006535947712418301,2.1001441721311442
2022-11,East,Electronics,23149,1099487.122,0.15851672536275552,0.0,2.2319979234550638
2022-11,East,Furniture,19953,1046647.3335000001,0.3448488987117838,0.0,2.1699841712854653
2022-11,East,Groceries,19969,1032245.306,0.20372092251011026,0.0,2.164307187637925
2022-11,East,Toys,19184,887209.3435,0.1679129662052532,0.006802721088435374,2.1986143946458454
2022-11,North,Clothing,19478,987385.3925,0.18889464186865387,0.0064516129032258064,1.9648869918096419
2022-11,North,Electronics,18397,890439.4029999999,0.16772489802253632,0.014925373134328358,2.1380835758970367
2022-11,North,Furniture,19814,935609.076,0.2216851893084269,0.0,2.248715646360632
2022-11,North,Groceries,19343,981745.659,0.2137019113718388,0.0,2.2579267589569763
2022-11,North,Toys,22312,1216085.0105,0.1942251853797575,0.0,2.1942056998136357
2022-11,South,Clothing,22279,1110538.932,0.18015798051995568,0.006172839506172839,2.3024843896077765
2022-11,South,Electronics,18417,908706.076,0.25564046317859784,0.0,2.1340501466353605
2022-11,South,Furniture,20601,1040411.645,0.3596762891659999,0.0136986301369863,2.2130328397597094
2022-11,South,Groceries,21459,1103234.5385,0.21354081046853907,0.0,2.171150119888919
2022-11,South,Toys,22406,1192168.6585,0.2003314638212966,0.0,2.1011520547793223
2022-11,West,Clothing,25017,1246401.592,0.2797241282134099,0.006493506493506494,2.258271047198679
2022-11,West,Electronics,19109,945526.0395,0.1702212918604457,0.006622516556291391,1.9252242949288703
2022-11,West,Furniture,20901,997267.9595,0.10968309336282228,0.014285714285714285,2.1836312672648726
2022-11,West,Groceries,21517,1072142.39,0.21840810889112855,0.012903225806451613,2.165513028909162
2022-11,West,Toys,20777,1037434.3315,0.2636115618965786,0.02040816326530612,2.0919190466225133
2022-12,East,Clothing,25378,1192264.783,0.1666431853816833,0.0,2.17283386009489
2022-12,East,Electronics,20697,986505.864,0.35370147996774437,0.0,2.2264542239515146
2022-12,East,Furniture,21861,1023677.948,0.27585729846905493,0.012422360248447204,2.307767119658295
2022-12,East,Groceries,17930,864821.605,0.2315793595380587,0.0,2.2602911639684096
2022-12,East,Toys,19810,880232.6714999999,0.23266059507789838,0.0,2.372118057149921
2022-12,North,Clothing,18156,926125.749,0.22911629845292586,0.0,2.2386112691262183
2022-12,North,Electronics,17558,900883.0059999999,0.18518806815418748,0.007352941176470588,2.054234052931507
2022-12,North,Furniture,27691,1390332.8185,0.19003963261050688,0.010582010582010581,2.325174183783931
2022-12,North,Groceries,20099,1026410.0185,0.32567327464046814,0.012422360248447204,2.1699695364979483
2022-12,North,Toys,21719,1100502.004,0.24025286254981193,0.0,2.426081070869671
2022-12,South,Clothing,21050,1042179.748,0.20967383770168008,0.0,2.1992868191795973
2022-12,South,Electronics,19869,934804.7365,0.16204543568073906,0.0064516129032258064,2.334765062752746
2022-12,South,Furniture,17665,844725.9685,0.3056102377796519,0.0,2.2737405496110275
2022-12,South,Groceries,16584,849418.5965,0.3627666820740808,0.00684931506849315,2.1009830939618452
2022-12,South,Toys,22208,1045214.317,0.18729870691374417,0.005988023952095809,2.053833762304994
2022-12,West,Clothing,21169,1046282.2339999999,0.29238511834644715,0.0,2.190116253498423
2022-12,West,Electronics,23449,1156144.3655,0.20633897837198872,0.010638297872340425,2.1286525394369438
2022-12,West,Furniture,21523,1117861.9385,0.24989346452827405,0.006289308176100629,2.142243921827917
2022-12,West,Groceries,18701,977078.2055,0.1893405238953749,0.0,2.1723913898318594
2022-12,West,Toys,19204,962670.792,0.17209359287325265,0.0,2.0824957063271934
2023-01,East,Clothing,17753,905488.371,0.3576753474634931,0.007042253521126761,2.209574535458673
2023-01,East,Electronics,18431,939790.66,0.2482663153028259,0.0,2.2488790461294315
2023-01,East,Furniture,21132,1060464.687,0.24510534198323677,0.00684931506849315,2.072530269425163
2023-01,East,Groceries,28347,1485894.261,0.13635476902264124,0.00558659217877095,2.2207026690668568
2023-01,East,Toys,21464,1064157.1035,0.24253196338796523,0.0,2.16145415781798
2023-01,North,Clothing,18825,843340.3735,0.2666161745703071,0.007462686567164179,2.0919889799116698
2023-01,North,Electronics,20431,955885.233,0.3503442056888668,0.0,1.9654735257653142
2023-01,North,Furniture,19634,947082.706,0.26826684210858875,0.0,2.1682644591756572
2023-01,North,Groceries,24754,1251924.972,0.16063537835740957,0.0,2.250020558432096
2023-01,North,Toys,23488,1182722.713,0.36349724109007514,0.0,2.0337562438365944
2023-01,South,Clothing,21566,1060781.4495,0.259025102842756,0.005988023952095809,2.2461050239985685
2023-01,South,Electronics,17622,828306.382,0.23980516181791295,0.0,2.051664561297235
2023-01,South,Furniture,21223,985213.3655000001,0.18365109966901008,0.0,2.2624074710894995
2023-01,South,Groceries,21002,1038390.3115,0.22694358007109708,0.0,2.206091791600704
2023-01,South,Toys,20106,1023991.2775,0.330443105591519,0.006578947368421052,1.9984736392809315
2023-01,West,Clothing,21549,1057181.725,0.16890792255808915,0.02,2.229805867719925
2023-01,West,Electronics,24686,1196268.655,0.212383936254839,0.019230769230769232,2.1229479931641833
2023-01,West,Furniture,19833,919623.216,0.16491727274893125,0.013422818791946308,2.033402690751459
2023-01,West,Groceries,19195,906112.6925,0.1759889085310171,0.006711409395973154,2.0480891604014166
2023-01,West,Toys,22367,1071142.976,0.36546606641368806,0.012903225806451613,2.1185097628397243
2023-02,East,Clothing,19147,934739.474,0.3429464540610158,0.006622516556291391,2.054820824230459
2023-02,East,Electronics,20157,1034392.862,0.23269295775039975,0.0,2.121077713868512
2023-02,East,Furniture,18155,907296.7019999999,0.3123975025836746,0.0,2.280865501158439
2023-02,East,Groceries,19846,929173.6410000001,0.3085570892049895,0.0,2.1255797397028378
2023-02,East,Toys,19445,1002585.2825,0.2927825141197285,0.007462686567164179,2.1811494579431234
2023-02,North,Clothing,19137,1017259.8505,0.19387258142668234,0.007407407407407408,2.1372398193583004
2023-02,North,Electronics,16350,842640.4855,0.24263359568279624,0.0,2.3664826282181153
2023-02,North,Furniture,21351,1021407.574,0.21469317005079225,0.006369426751592357,2.1021590585325693
2023-02,North,Groceries,17491,899905.18,0.3054893820148071,0.0,2.1627768327246666
2023-02,North,Toys,20021,1051172.069,0.1177969529276077,0.0,2.234412213802499
2023-02,South,Clothing,19018,916979.617,0.293426851689174,0.0,2.0667594079567198
2023-02,South,Electronics,14946,806869.0975,0.1989295042469299,0.017391304347826087,2.1313499596788787
2023-02,South,Furniture,24066,1196311.8625,0.2180840087120284,0.0,2.2681560348919105
2023-02,South,Groceries,19147,930594.9155,0.15732339848739618,0.0,2.2795668192049203
2023-02,South,Toys,19959,972691.056,0.205409234031394,0.007142857142857143,2.1199181585794125
2023-02,West,Clothing,19019,923084.3685,0.276578341005028,0.014184397163120567,2.0561729132702244
2023-02,West,Electronics,15036,725929.226,0.24170641676116753,0.0,2.04997458767166
2023-02,West,Furniture,19742,1012957.0915,0.36559589286223315,0.0,2.179556492600871
2023-02,West,Groceries,24025,1123697.1155,0.17818844681924298,0.0,2.18691001054458
2023-02,West,Toys,19110,979258.9405,0.22734422229035428,0.006622516556291391,2.0722194397218807
2023-03,East,Clothing,18191,878976.2325,0.35092517727257233,0.0,2.248961580787986
2023-03,East,Electronics,19100,1046549.38,0.2536998744473639,0.0,2.0378735748658943
2023-03,East,Furniture,21782,1130879.9215,0.20929103176639857,0.006369426751592357,2.1089299068043283
2023-03,East,Groceries,23731,1189019.688,0.23440300026343247,0.0,2.474403254901977
2023-03,East,Toys,18270,923221.2465,0.2616800634675333,0.014388489208633094,2.0276136655725203
2023-03,North,Clothing,22051,1069899.493,0.2217323331703389,0.006172839506172839,2.1699468027566753
2023-03,North,Electronics,19629,973093.6525,0.21256953512727603,0.0,2.1125401459599313
2023-03,North,Furniture,21593,971747.367,0.22164877042264422,0.0,2.1384387076377656
2023-03,North,Groceries,22624,1088756.287,0.3906758131109587,0.011627906976744186,2.2525835513024735
2023-03,North,Toys,19559,991512.934,0.25281173858865763,0.0,2.15850075320442
2023-03,South,Clothing,23021,1200154.7905,0.3025771836504935,0.0064516129032258064,2.1622497525238282
2023-03,South,Electronics,18891,1020157.9535,0.20884872741701427,0.0,2.2005442574814595
2023-03,South,Furniture,23153,1172221.7325,0.24459201911136388,0.0,2.078293929574833
2023-03,South,Groceries,22930,1147086.6305,0.3459581811116533,0.0,2.182442186739082
2023-03,South,Toys,21656,1059467.1625,0.25497878530301715,0.0,2.2366733007870456
2023-03,West,Clothing,21306,1039439.9065,0.23919975008953448,0.006060606060606061,2.174438319223373
2023-03,West,Electronics,19817,1040715.209,0.4108665031001728,0.0,2.1619822346251323
2023-03,West,Furniture,22657,1165130.7445,0.22881248865105228,0.0058823529411764705,2.290978268234482
2023-03,West,Groceries,17632,872560.75,0.3528318354214365,0.013793103448275862,2.1040942062895125
2023-03,West,Toys,18929,964097.6445,0.2770199989367567,0.006535947712418301,2.295874079830669
2023-04,East,Clothing,27360,1337373.0115,0.17126312581151518,0.0,2.2603591592353305
2023-04,East,Electronics,17415,837791.379,0.3786239404002104,0.007142857142857143,2.1695763285017162
2023-04,East,Furniture,19435,1053824.857,0.1980210868560561,0.0,2.3627066547032207
2023-04,East,Groceries,22510,1134786.3815000001,0.2818335764817196,0.0,2.238565443845263
2023-04,East,Toys,16879,882464.606,0.14802368760861348,0.007936507936507936,2.1780097505333282
2023-04,North,Clothing,19129,970678.6105000001,0.2723215868273442,0.014084507042253521,2.020803301888118
2023-04,North,Electronics,19143,923350.329,0.2654694516999112,0.0,2.1019044232942257
2023-04,North,Furniture,22054,1137208.7335,0.1257085441242981,0.02054794520547945,2.284233631861002
